更新时间: 2025-12-13 01:35:16（北京时间）

更新时间,#genre#
2025-12-13 01:35:16,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://113.78.252.42:4000/udp/239.77.0.30:5146$广东电信
CCTV1,http://113.78.252.42:4000/udp/239.77.1.20:5146$广东电信
CCTV1,http://117.90.94.229:6000/rtp/239.49.1.1:6000$江苏电信
CCTV1,http://117.90.94.229:6000/rtp/239.49.0.1:8000$江苏电信
CCTV1,http://180.111.29.214:8888/rtp/239.49.1.1:6000$江苏电信
CCTV1,http://180.111.29.214:8888/rtp/239.49.0.1:8000$江苏电信
CCTV1,http://183.7.144.126:8880/udp/239.77.0.30:5146$广东电信
CCTV1,http://183.7.144.126:8880/udp/239.77.1.20:5146$广东电信
CCTV1,http://220.175.144.78:9000/rtp/239.252.219.200:5140$江西电信
CCTV1,http://220.175.144.78:9000/rtp/239.252.219.10:5140$江西电信
CCTV2,http://113.78.252.42:4000/udp/239.77.0.31:5146$广东电信
CCTV2,http://113.78.252.42:4000/udp/239.77.1.28:5146$广东电信
CCTV2,http://117.90.94.229:6000/rtp/239.49.1.2:6000$江苏电信
CCTV2,http://117.90.94.229:6000/rtp/239.49.0.2:8008$江苏电信
CCTV2,http://180.111.29.214:8888/rtp/239.49.1.2:6000$江苏电信
CCTV2,http://180.111.29.214:8888/rtp/239.49.0.2:8008$江苏电信
CCTV2,http://183.7.144.126:8880/udp/239.77.0.31:5146$广东电信
CCTV2,http://183.7.144.126:8880/udp/239.77.1.28:5146$广东电信
CCTV2,http://220.175.144.78:9000/rtp/239.252.220.183:5140$江西电信
CCTV3,http://113.78.252.42:4000/udp/239.77.0.32:5146$广东电信
CCTV3,http://117.90.94.229:6000/rtp/239.49.1.3:6000$江苏电信
CCTV3,http://117.90.94.229:6000/rtp/239.49.0.3:9566$江苏电信
CCTV3,http://180.111.29.214:8888/rtp/239.49.1.3:6000$江苏电信
CCTV3,http://180.111.29.214:8888/rtp/239.49.0.3:9566$江苏电信
CCTV3,http://183.7.144.126:8880/udp/239.77.0.32:5146$广东电信
CCTV3,http://220.175.144.78:9000/rtp/239.252.219.252:5140$江西电信
CCTV3,http://220.175.144.78:9000/rtp/239.252.220.193:5140$江西电信
CCTV4,http://113.78.252.42:4000/udp/239.77.0.33:5146$广东电信
CCTV4,http://113.78.252.42:4000/udp/239.77.1.41:5146$广东电信
CCTV4,http://117.90.94.229:6000/rtp/239.49.1.4:6000$江苏电信
CCTV4,http://117.90.94.229:6000/rtp/239.49.0.4:8024$江苏电信
CCTV4,http://180.111.29.214:8888/rtp/239.49.1.4:6000$江苏电信
CCTV4,http://180.111.29.214:8888/rtp/239.49.0.4:8024$江苏电信
CCTV4,http://183.7.144.126:8880/udp/239.77.0.33:5146$广东电信
CCTV4,http://183.7.144.126:8880/udp/239.77.1.41:5146$广东电信
CCTV4,http://220.175.144.78:9000/rtp/239.252.220.184:5140$江西电信
CCTV4欧洲,http://220.175.144.78:9000/rtp/239.252.219.192:5140$江西电信
CCTV4美洲,http://220.175.144.78:9000/rtp/239.252.219.193:5140$江西电信
CCTV5,http://113.78.252.42:4000/udp/239.77.0.34:5146$广东电信
CCTV5,http://117.90.94.229:6000/rtp/239.49.1.5:6000$江苏电信
CCTV5,http://117.90.94.229:6000/rtp/239.49.0.5:9570$江苏电信
CCTV5,http://180.111.29.214:8888/rtp/239.49.1.5:6000$江苏电信
CCTV5,http://180.111.29.214:8888/rtp/239.49.0.5:9570$江苏电信
CCTV5,http://183.7.144.126:8880/udp/239.77.0.34:5146$广东电信
